user_id,segment,install_date
1,2,2023-09-01
2,2,2023-09-02
3,0,2023-09-25
4,1,2023-09-09
5,1,2023-09-09
6,2,2023-09-24
7,0,2023-09-16
8,0,2023-09-06
9,1,2023-09-06
10,0,2023-09-19
11,0,2023-09-14
12,0,2023-09-21
13,1,2023-09-14
14,1,2023-09-08
15,1,2023-09-04
16,2,2023-09-16
17,1,2023-09-27
18,1,2023-09-29
19,2,2023-09-13
20,2,2023-09-01
21,2,2023-09-18
22,1,2023-09-04
23,2,2023-09-29
24,1,2023-09-19
25,2,2023-09-07
26,1,2023-09-23
27,0,2023-09-21
28,1,2023-09-05
29,1,2023-09-25
30,1,2023-09-08
31,2,2023-09-03
32,1,2023-09-04
33,2,2023-09-07
34,2,2023-09-22
35,2,2023-09-14
36,1,2023-09-05
37,0,2023-09-03
38,0,2023-09-21
39,0,2023-09-08
40,2,2023-09-16
41,1,2023-09-03
42,0,2023-09-03
43,1,2023-09-06
44,0,2023-09-29
45,1,2023-09-20
46,0,2023-09-24
47,1,2023-09-16
48,1,2023-09-17
49,0,2023-09-03
50,1,2023-09-02
51,1,2023-09-16
52,2,2023-09-21
53,0,2023-09-23
54,0,2023-09-11
55,1,2023-09-16
56,1,2023-09-22
57,2,2023-09-22
58,2,2023-09-08
59,2,2023-09-17
60,1,2023-09-16
61,2,2023-09-15
62,0,2023-09-20
63,2,2023-09-03
64,0,2023-09-07
65,2,2023-09-13
66,0,2023-09-05
67,0,2023-09-06
68,1,2023-09-29
69,0,2023-09-19
70,1,2023-09-19
71,2,2023-09-19
72,0,2023-09-08
73,2,2023-09-13
74,1,2023-09-27
75,0,2023-09-18
76,1,2023-09-18
77,0,2023-09-12
78,2,2023-09-21
79,0,2023-09-07
80,2,2023-09-09
81,0,2023-09-20
82,2,2023-09-18
83,1,2023-09-02
84,0,2023-09-02
85,1,2023-09-21
86,2,2023-09-08
87,2,2023-09-09
88,0,2023-09-18
89,1,2023-09-22
90,1,2023-09-29
91,0,2023-09-13
92,1,2023-09-08
93,2,2023-09-19
94,0,2023-09-10
95,0,2023-09-09
96,0,2023-09-26
97,1,2023-09-05
98,1,2023-09-13
99,2,2023-09-29
100,2,2023-09-27
101,2,2023-09-29
102,2,2023-09-13
103,0,2023-09-07
104,1,2023-09-04
105,2,2023-09-13
106,1,2023-09-08
107,0,2023-09-28
108,1,2023-09-27
109,0,2023-09-10
110,2,2023-09-11
111,1,2023-09-20
112,1,2023-09-05
113,1,2023-09-17
114,1,2023-09-16
115,2,2023-09-17
116,1,2023-09-03
117,0,2023-09-17
118,2,2023-09-21
119,1,2023-09-29
120,0,2023-09-26
121,1,2023-09-25
122,1,2023-09-10
123,2,2023-09-23
124,0,2023-09-05
125,2,2023-09-10
126,2,2023-09-21
127,0,2023-09-02
128,1,2023-09-29
129,1,2023-09-11
130,2,2023-09-01
131,2,2023-09-27
132,0,2023-09-25
133,2,2023-09-01
134,2,2023-09-05
135,1,2023-09-26
136,0,2023-09-13
137,1,2023-09-19
138,0,2023-09-02
139,0,2023-09-10
140,2,2023-09-24
141,1,2023-09-20
142,0,2023-09-23
143,1,2023-09-22
144,0,2023-09-03
145,2,2023-09-05
146,0,2023-09-18
147,1,2023-09-04
148,1,2023-09-04
149,0,2023-09-07
150,2,2023-09-19
151,1,2023-09-08
152,2,2023-09-12
153,2,2023-09-27
154,0,2023-09-16
155,0,2023-09-12
156,1,2023-09-11
157,0,2023-09-16
158,1,2023-09-19
159,1,2023-09-01
160,1,2023-09-17
161,2,2023-09-29
162,1,2023-09-13
163,0,2023-09-24
164,1,2023-09-02
165,2,2023-09-21
166,0,2023-09-19
167,2,2023-09-22
168,0,2023-09-06
169,0,2023-09-20
170,1,2023-09-08
171,1,2023-09-12
172,2,2023-09-08
173,1,2023-09-13
174,2,2023-09-14
175,2,2023-09-23
176,0,2023-09-08
177,1,2023-09-09
178,1,2023-09-15
179,0,2023-09-12
180,2,2023-09-08
181,2,2023-09-22
182,0,2023-09-03
183,1,2023-09-22
184,2,2023-09-25
185,2,2023-09-26
186,2,2023-09-16
187,1,2023-09-11
188,0,2023-09-21
189,2,2023-09-14
190,2,2023-09-20
191,0,2023-09-08
192,1,2023-09-08
193,1,2023-09-27
194,0,2023-09-22
195,2,2023-09-01
196,0,2023-09-04
197,0,2023-09-01
198,2,2023-09-24
199,1,2023-09-28
200,0,2023-09-16
201,0,2023-09-22
202,1,2023-09-20
203,0,2023-09-12
204,1,2023-09-12
205,0,2023-09-08
206,2,2023-09-25
207,1,2023-09-08
208,0,2023-09-19
209,2,2023-09-07
210,0,2023-09-10
211,1,2023-09-24
212,2,2023-09-16
213,2,2023-09-08
214,0,2023-09-10
215,0,2023-09-05
216,2,2023-09-06
217,2,2023-09-02
218,2,2023-09-10
219,0,2023-09-16
220,0,2023-09-17
221,1,2023-09-27
222,2,2023-09-26
223,0,2023-09-04
224,1,2023-09-02
225,2,2023-09-20
226,0,2023-09-08
227,2,2023-09-28
228,0,2023-09-21
229,1,2023-09-08
230,1,2023-09-16
231,0,2023-09-12
232,0,2023-09-13
233,0,2023-09-12
234,1,2023-09-23
235,0,2023-09-07
236,2,2023-09-28
237,1,2023-09-10
238,0,2023-09-17
239,0,2023-09-28
240,1,2023-09-03
241,1,2023-09-02
242,0,2023-09-13
243,2,2023-09-16
244,1,2023-09-15
245,2,2023-09-09
246,1,2023-09-21
247,1,2023-09-02
248,0,2023-09-08
249,0,2023-09-14
250,1,2023-09-10
251,2,2023-09-26
252,0,2023-09-19
253,1,2023-09-23
254,0,2023-09-15
255,1,2023-09-22
256,2,2023-09-22
257,2,2023-09-04
258,1,2023-09-09
259,1,2023-09-02
260,1,2023-09-17
261,1,2023-09-07
262,2,2023-09-12
263,0,2023-09-28
264,0,2023-09-07
265,1,2023-09-18
266,0,2023-09-21
267,0,2023-09-06
268,2,2023-09-01
269,2,2023-09-19
270,2,2023-09-17
271,2,2023-09-25
272,2,2023-09-24
273,2,2023-09-02
274,1,2023-09-17
275,0,2023-09-04
276,0,2023-09-25
277,0,2023-09-15
278,1,2023-09-02
279,0,2023-09-19
280,2,2023-09-08
281,0,2023-09-01
282,0,2023-09-19
283,1,2023-09-27
284,1,2023-09-08
285,2,2023-09-25
286,2,2023-09-29
287,0,2023-09-11
288,1,2023-09-03
289,1,2023-09-22
290,0,2023-09-14
291,0,2023-09-26
292,1,2023-09-18
293,0,2023-09-10
294,1,2023-09-10
295,1,2023-09-14
296,1,2023-09-07
297,0,2023-09-25
298,1,2023-09-17
299,0,2023-09-17
300,0,2023-09-15
301,0,2023-09-10
302,1,2023-09-06
303,0,2023-09-26
304,2,2023-09-26
305,1,2023-09-08
306,0,2023-09-14
307,0,2023-09-25
308,0,2023-09-23
309,0,2023-09-08
310,2,2023-09-27
311,1,2023-09-14
312,2,2023-09-16
313,2,2023-09-14
314,1,2023-09-01
