transaction_date,user_id,is_free_trial,is_conversion_to_pay,price_in_usd
2023-09-09,5,True,False,
2023-09-19,10,True,False,
2023-09-26,10,False,True,2.99
2023-09-04,22,True,False,
2023-09-11,22,False,True,2.99
2023-09-25,22,False,False,2.99
2023-10-02,22,False,False,2.99
2023-10-23,22,False,False,2.99
2023-10-30,22,False,False,2.99
2023-09-22,34,True,False,
2023-09-29,34,False,True,2.99
2023-10-06,34,False,False,2.99
2023-09-16,40,True,False,
2023-09-24,46,True,False,
2023-10-01,46,False,True,2.99
2023-10-08,46,False,False,2.99
2023-10-15,46,False,False,2.99
2023-10-22,46,False,False,2.99
2023-10-29,46,False,False,2.99
2023-09-17,48,True,False,
2023-09-24,48,False,True,2.99
2023-09-02,50,True,False,
2023-09-09,50,False,True,2.99
2023-09-08,58,True,False,
2023-09-17,59,True,False,
2023-09-24,59,False,True,2.99
2023-10-01,59,False,False,2.99
2023-10-08,59,False,False,2.99
2023-10-15,59,False,False,2.99
2023-10-22,59,False,False,2.99
2023-11-12,59,False,False,2.99
2023-11-19,59,False,False,2.99
2023-11-26,59,False,False,2.99
2024-01-07,59,False,False,2.99
2023-09-15,61,True,False,
2023-09-24,62,True,False,
2023-10-01,62,False,True,2.99
2023-10-08,62,False,False,2.99
2023-10-15,62,False,False,2.99
2023-10-22,62,False,False,2.99
2023-10-29,62,False,False,2.99
2023-11-05,62,False,False,2.99
2023-09-19,70,True,False,
2023-09-18,82,True,False,
2023-09-25,82,False,True,2.99
2023-10-02,82,False,False,2.99
2023-10-09,82,False,False,2.99
2023-10-23,82,False,False,2.99
2023-10-30,82,False,False,2.99
2023-11-13,82,False,False,2.99
2023-11-20,82,False,False,2.99
2023-11-27,82,False,False,2.99
2023-12-04,82,False,False,2.99
2023-12-11,82,False,False,2.99
2023-12-18,82,False,False,2.99
2024-01-08,82,False,False,2.99
2024-01-15,82,False,False,2.99
2024-01-22,82,False,False,2.99
2024-01-29,82,False,False,2.99
2024-02-05,82,False,False,2.99
2024-02-19,82,False,False,2.99
2024-02-26,82,False,False,2.99
2024-03-04,82,False,False,2.99
2023-09-18,88,True,False,
2023-09-25,88,False,True,2.99
2023-09-13,102,True,False,
2023-09-20,102,False,True,2.99
2023-09-27,108,True,False,
2023-09-19,115,True,False,
2023-09-25,121,True,False,
2023-09-03,144,True,False,
2023-09-10,144,False,True,2.99
2023-10-01,144,False,False,2.99
2023-10-15,144,False,False,2.99
2023-10-22,144,False,False,2.99
2023-11-05,144,False,False,2.99
2023-11-12,144,False,False,2.99
2023-09-04,148,True,False,
2023-09-08,149,True,False,
2023-09-15,149,False,True,2.99
2023-09-22,149,False,False,2.99
2023-09-12,152,True,False,
2023-09-19,157,True,False,
2023-09-26,157,False,True,2.99
2023-09-19,166,True,False,
2023-09-23,167,True,False,
2023-09-16,186,True,False,
2023-09-02,195,True,False,
2023-09-10,210,True,False,
2023-09-08,248,True,False,
2023-09-05,257,True,False,
2023-09-12,262,True,False,
2023-09-08,264,True,False,
2023-09-15,264,False,True,2.99
2023-09-22,264,False,False,2.99
2023-09-29,264,False,False,2.99
2023-10-06,264,False,False,2.99
2023-10-13,264,False,False,2.99
2023-10-20,264,False,False,2.99
2023-10-27,264,False,False,2.99
2023-12-01,264,False,False,2.99
2023-12-08,264,False,False,2.99
2023-12-15,264,False,False,2.99
2023-12-29,264,False,False,2.99
2024-01-05,264,False,False,2.99
2024-01-12,264,False,False,2.99
2024-01-19,264,False,False,2.99
2023-09-17,274,True,False,
2023-09-24,274,False,True,2.99
2023-10-08,274,False,False,2.99
2023-10-15,274,False,False,2.99
2023-10-22,274,False,False,2.99
2023-10-29,274,False,False,2.99
2023-11-19,274,False,False,2.99
2023-11-26,274,False,False,2.99
2023-12-03,274,False,False,2.99
2023-12-10,274,False,False,2.99
2023-12-17,274,False,False,2.99
2023-12-31,274,False,False,2.99
2024-01-07,274,False,False,2.99
2024-01-21,274,False,False,2.99
2024-01-28,274,False,False,2.99
2024-02-04,274,False,False,2.99
2024-02-11,274,False,False,2.99
2024-02-18,274,False,False,2.99
2024-02-25,274,False,False,2.99
2023-09-15,277,True,False,
2023-09-20,282,True,False,
2023-09-27,282,False,True,2.99
2023-10-04,282,False,False,2.99
2023-10-18,282,False,False,2.99
2023-10-25,282,False,False,2.99
2023-11-01,282,False,False,2.99
2023-09-26,291,True,False,
2023-09-01,314,True,False,
2023-09-08,314,False,True,2.99
2023-09-24,319,True,False,
2023-09-19,337,True,False,
2023-09-14,342,True,False,
2023-09-21,342,False,True,2.99
2023-09-23,357,True,False,
2023-09-30,357,False,True,2.99
2023-10-07,357,False,False,2.99
2023-10-21,357,False,False,2.99
2023-11-04,357,False,False,2.99
2023-11-11,357,False,False,2.99
2023-11-18,357,False,False,2.99
2023-12-09,357,False,False,2.99
2023-09-22,369,True,False,
2023-09-28,382,True,False,
2023-09-25,411,True,False,
2023-10-02,411,False,True,2.99
2023-10-09,411,False,False,2.99
2023-10-16,411,False,False,2.99
2023-09-09,423,True,False,
2023-09-16,423,False,True,2.99
2023-09-26,426,True,False,
2023-09-24,444,True,False,
2023-09-12,457,True,False,
2023-09-19,457,False,True,2.99
2023-10-24,457,False,False,2.99
2023-09-20,465,True,False,
2023-09-27,465,False,True,2.99
2023-10-11,465,False,False,2.99
